epoch;acc;loss;val_acc;val_loss
0;0.5778865333821593;1.3041480394209803;0.5962332421078633;1.212570260676735
1;0.5997278532891034;1.2132110527832116;0.600709746254117;1.195704618157043
2;0.6083484096417312;1.180210007105049;0.6079231804109667;1.184064095264829
3;0.613080051342296;1.154033786547735;0.6081319293092364;1.1808922206414854
4;0.6193579811708189;1.1358994930875217;0.6089901192243452;1.1813820193283588
5;0.6238731425213775;1.1129177216632202;0.6078535974448768;1.187896350072997
6;0.6285274698068808;1.0978131243255065;0.6079927633770567;1.191583784766723
7;0.6331663342193259;1.0829600427527906;0.6061372176146592;1.1967135743671917
8;0.6367305283638909;1.0696624618049153;0.6071345734619479;1.2040754187144136
9;0.6390963492173991;1.0600467337344464;0.6088741476141953;1.2035656796982852
