epoch;acc;loss;val_acc;val_loss
0;0.5861205177110926;1.2661787394485884;0.604165700255937;1.1915157832246424
1;0.6137062980435568;1.161412841731297;0.6119357981083261;1.1726386352821223
2;0.6303211640457083;1.0959888669020745;0.612631627796875;1.1720891615154074
3;0.6510955451337439;1.0291791707897113;0.6153453634743811;1.1742532711090545
4;0.6705942385193479;0.9648011752504402;0.6171081319458935;1.1786189313727207
5;0.6878740084473415;0.903013103218888;0.6166906341493542;1.1961900391057532
6;0.7048367892992974;0.8471026845183384;0.6183838196603068;1.2154578086744463
7;0.7187688453829627;0.8028531948837825;0.6197058959856001;1.2485820200169313
8;0.7311159561518767;0.7614373351153203;0.6178503502204378;1.2654420871479577
9;0.7444990799548729;0.7208856650978971;0.6164354965793748;1.3026268992402112
