epoch;acc;loss;val_acc;val_loss
0;0.5715544834606051;1.3357364024944316;0.5959317159214738;1.2169905363830447
1;0.5992639668604857;1.221665506311597;0.6035858422107178;1.1937568353695291
2;0.6086731301648972;1.1853633086019357;0.60537180504297;1.1870277093210773
3;0.6143480076132676;1.1583272030095813;0.6068098529175836;1.1815624140535141
4;0.6196672388071016;1.1405323450492821;0.6085030385170155;1.178954455554112
5;0.6266796554796302;1.1211580204596125;0.6096627545272695;1.1773248486424408
6;0.6287284872663172;1.104890962061117;0.6089901192437001;1.1796084280004526
7;0.6321303211760273;1.0916943596395605;0.6095699772585045;1.1790635784808075
8;0.6366841397281259;1.0762298641230492;0.6087581760234003;1.1865672736291337
9;0.6388102858994597;1.0646404602999102;0.6085726214831053;1.186265710928436
