epoch;acc;loss;val_acc;val_loss
0;0.5840252972720507;1.2801191217705294;0.6024261260898646;1.198134604923556
1;0.6070417961729063;1.1886370313816237;0.6062299949027791;1.18350266544287
2;0.6181905336231138;1.14249247648122;0.609825114817424;1.1773442039575128
3;0.6300273692981521;1.0998609896498508;0.6085958157498358;1.1799507631675794
4;0.6403101853981041;1.0624017127121945;0.61260843346102;1.1819708670325362
5;0.650229623787175;1.0293402456440561;0.6135130120201888;1.1890375919475202
6;0.6573657435372582;1.0001318950005407;0.6144871735454474;1.204424701202843
7;0.666001762763866;0.9696372678333665;0.6111239968511022;1.2248199138846187
8;0.6727822362409797;0.9447163412037902;0.6107296933765928;1.2418949790504583
9;0.6813022838712626;0.9188810073279238;0.6101266410038135;1.2509380660395721
